Gene,BC01_02,BC01_03,BC01_04,BC01_05,BC01_06,BC01_08,BC01_10,BC01_12,BC01_33,BC01_34
RNF216,3.839235938,3.350116174,0.077001584,1.352629965,3.540971008,2.902130245,0.139821456,1.462786407,3.502902741,4.336083069
TTC19,3.047108706,3.79867495,0,4.524319362,4.616909242,4.05514772,2.293954508,3.651620999,4.628422484,2.346933857
PTBP1,2.714236319,3.549920633,3.151548926,3.030297839,2.761140381,3.2933983,1.901001882,4.32670418,0.12215237,2.662696628
DPF1,0,0,0,0,0,0,0,0,0,0
SYT7,1.029759904,1.512248305,0,0.321851648,0,1.357671648,0.892267287,0.657225966,0,0.174011911
LARS2,2.997438767,0,1.858321112,0.935581492,0,0.246642981,2.503492814,0,1.014868883,0
PIK3C2A,3.369917724,2.179645344,3.55816276,2.63326303,2.94347466,2.135654947,0.405617192,2.685917306,0.542086804,3.286139794
PLAUR,0,0,1.316808751,0.378171148,0.277924422,0.677544811,0,0,4.851779726,0
ANLN,0,4.199947006,0,0,0,0,0,0,0,0
WIZ,2.211760288,2.154474899,0,0.707608536,0,0.095219963,1.759958252,2.096254873,0,0.10439639
RABGAP1,2.977266403,3.304948616,5.30290365,0.165386006,4.872494129,3.913646616,2.294963128,0.048761111,0,3.05670662
DCN,0,0,0,0,0,0,0,0,0,0
QPCTL,0,0,0,0,0,0,0,0,2.549703001,0
PPP5C,0.246907885,3.77741241,0.797807939,1.476398836,3.24726164,3.36184457,0.582416978,2.742846327,0,0
CEP68,2.291720578,0.156877311,2.905777614,0,3.220834076,0.067593727,1.040571723,0.923890827,2.349909106,0
MAP4K3,0.182357981,0.931636378,0.113387327,1.181143384,4.620366589,0,2.863202282,0.223021521,1.074628697,0
ZBTB32,0,0,0,0,0,0,0,0,0,0
TYROBP,0,0,0,0,0,0,0,0,0,0
TMEM159,2.755774352,2.132214974,4.048489159,3.688807978,2.431199017,0.977706653,1.765108881,0.955135918,1.277742869,1.004534187
BRCA1,0,0.45075966,0,0,2.388940958,0,0,0,0,0
ERCC1,4.26219085,4.491364661,4.464953637,4.260863111,4.818894609,3.729532119,5.195020319,5.258449525,4.492223984,3.164137342
CD22,0,0,0,0,0,0,2.174019007,0,0,0
SEMA3B,2.228056527,0.378162245,3.163041127,0,0,1.084531964,0,0,0,0
MBTPS2,0.506904492,0,0,0,0,2.204088945,0,0.048761111,0,0
PRICKLE3,0,0,0,0.927710047,0,0,0.174026157,0,0,1.926020944
LTF,0,3.710036317,0,0,0,0,0,0,0,3.896049883
EXTL3,3.234171379,0,0,0,0,1.982900085,0,0,0,0
ELOVL5,4.178441224,3.058815931,0,3.749387277,5.026525696,3.758135218,3.067091552,2.498413767,4.111298861,4.688403278
ALOX5,0,0,0,0,0,0.384945073,0,0,0,2.450477989
CALCOCO1,0,1.003750052,4.486702424,4.051305118,5.41382911,2.417684387,0,0,2.830913103,0.524878382
UBR7,0,2.357231674,0,0,3.077079935,3.12009345,3.422094678,0,0,2.068448385
MAP4K5,3.154653169,4.309806064,0,1.220236201,0,0,0,3.626409984,3.626983489,0
EHD3,0,0,0,0,0,0.076887532,0.536682805,0,0,0
PSMC4,3.777103855,4.435062588,6.246536606,4.778540397,3.540680764,4.59544931,4.496029603,2.734445963,3.839542042,4.004597789
